"","Sample.Name","location","loci","allele1","alllele2"
"12","scul351","Hamilton Lake Ontario","loc105",326,332
"60","scul351","Hamilton Lake Ontario","loc128",318,332
"108","scul351","Hamilton Lake Ontario","loc11",204,224
"156","scul351","Hamilton Lake Ontario","loc113",138,138
"204","scul351","Hamilton Lake Ontario","loc213",331,331
"252","scul351","Hamilton Lake Ontario","loc2",236,242
"300","scul351","Hamilton Lake Ontario","loc8",102,105
"348","scul351","Hamilton Lake Ontario","loc17",114,129
"396","scul351","Hamilton Lake Ontario","loc13",233,233
"2","scul352","Hamilton Lake Ontario","loc105",326,326
"50","scul352","Hamilton Lake Ontario","loc128",332,332
"98","scul352","Hamilton Lake Ontario","loc11",204,218
"146","scul352","Hamilton Lake Ontario","loc113",132,138
"194","scul352","Hamilton Lake Ontario","loc213",331,331
"242","scul352","Hamilton Lake Ontario","loc2",236,242
"290","scul352","Hamilton Lake Ontario","loc8",102,102
"338","scul352","Hamilton Lake Ontario","loc17",111,123
"386","scul352","Hamilton Lake Ontario","loc13",233,233
"4","scul353","Hamilton Lake Ontario","loc105",326,326
"52","scul353","Hamilton Lake Ontario","loc128",318,324
"100","scul353","Hamilton Lake Ontario","loc11",204,222
"148","scul353","Hamilton Lake Ontario","loc113",132,138
"196","scul353","Hamilton Lake Ontario","loc213",331,331
"244","scul353","Hamilton Lake Ontario","loc2",236,245
"292","scul353","Hamilton Lake Ontario","loc8",102,102
"340","scul353","Hamilton Lake Ontario","loc17",111,139
"388","scul353","Hamilton Lake Ontario","loc13",233,242
"42","scul354","Hamilton Lake Ontario","loc105",326,326
"90","scul354","Hamilton Lake Ontario","loc128",318,334
"138","scul354","Hamilton Lake Ontario","loc11",204,204
"186","scul354","Hamilton Lake Ontario","loc113",132,138
"234","scul354","Hamilton Lake Ontario","loc213",331,331
"282","scul354","Hamilton Lake Ontario","loc2",236,236
"330","scul354","Hamilton Lake Ontario","loc8",102,102
"378","scul354","Hamilton Lake Ontario","loc17",96,120
"426","scul354","Hamilton Lake Ontario","loc13",233,236
"35","scul355","Hamilton Lake Ontario","loc105",326,336
"83","scul355","Hamilton Lake Ontario","loc128",318,334
"131","scul355","Hamilton Lake Ontario","loc11",218,222
"179","scul355","Hamilton Lake Ontario","loc113",138,138
"227","scul355","Hamilton Lake Ontario","loc213",331,331
"275","scul355","Hamilton Lake Ontario","loc2",233,236
"323","scul355","Hamilton Lake Ontario","loc8",93,102
"371","scul355","Hamilton Lake Ontario","loc17",93,105
"419","scul355","Hamilton Lake Ontario","loc13",239,239
"7","scul356","Hamilton Lake Ontario","loc105",326,332
"55","scul356","Hamilton Lake Ontario","loc128",318,326
"103","scul356","Hamilton Lake Ontario","loc11",204,222
"151","scul356","Hamilton Lake Ontario","loc113",138,138
"199","scul356","Hamilton Lake Ontario","loc213",331,331
"247","scul356","Hamilton Lake Ontario","loc2",236,236
"295","scul356","Hamilton Lake Ontario","loc8",102,102
"343","scul356","Hamilton Lake Ontario","loc17",0,0
"391","scul356","Hamilton Lake Ontario","loc13",233,239
"47","scul357","Hamilton Lake Ontario","loc105",326,326
"95","scul357","Hamilton Lake Ontario","loc128",318,332
"143","scul357","Hamilton Lake Ontario","loc11",218,222
"191","scul357","Hamilton Lake Ontario","loc113",138,138
"239","scul357","Hamilton Lake Ontario","loc213",331,331
"287","scul357","Hamilton Lake Ontario","loc2",239,242
"335","scul357","Hamilton Lake Ontario","loc8",102,102
"383","scul357","Hamilton Lake Ontario","loc17",105,111
"431","scul357","Hamilton Lake Ontario","loc13",233,233
"39","scul358","Hamilton Lake Ontario","loc105",326,330
"87","scul358","Hamilton Lake Ontario","loc128",332,336
"135","scul358","Hamilton Lake Ontario","loc11",218,222
"183","scul358","Hamilton Lake Ontario","loc113",138,138
"231","scul358","Hamilton Lake Ontario","loc213",331,331
"279","scul358","Hamilton Lake Ontario","loc2",242,242
"327","scul358","Hamilton Lake Ontario","loc8",102,102
"375","scul358","Hamilton Lake Ontario","loc17",111,117
"423","scul358","Hamilton Lake Ontario","loc13",227,227
"46","scul359","Hamilton Lake Ontario","loc105",332,332
"94","scul359","Hamilton Lake Ontario","loc128",318,332
"142","scul359","Hamilton Lake Ontario","loc11",222,222
