# This document produced by structureHarvester core version vA.2 July 2014
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# File generated at 2016-Dec-16 05:56:01 PST
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	10	-6156.620000	0.225093
2	10	-6038.130000	2.137522
3	10	-6100.780000	8.081639
4	10	-6210.680000	17.883127
5	10	-6582.710000	158.847071
6	10	-6694.620000	83.488027
7	10	-6822.830000	119.937558
8	10	-6904.940000	130.615468
9	10	-6949.200000	160.594334
10	10	-7007.170000	124.684821

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
Resultsparmset1_run_91_f	91	1	-6156.5	-6133.0	47.1
Resultsparmset1_run_100_f	100	1	-6156.7	-6133.0	47.3
Resultsparmset1_run_96_f	96	1	-6157.1	-6133.2	47.8
Resultsparmset1_run_99_f	99	1	-6156.6	-6133.0	47.2
Resultsparmset1_run_92_f	92	1	-6156.5	-6132.9	47.1
Resultsparmset1_run_98_f	98	1	-6156.4	-6132.9	47.0
Resultsparmset1_run_93_f	93	1	-6156.6	-6133.0	47.2
Resultsparmset1_run_97_f	97	1	-6156.5	-6133.0	47.1
Resultsparmset1_run_95_f	95	1	-6156.4	-6132.9	46.9
Resultsparmset1_run_94_f	94	1	-6156.9	-6133.1	47.5
Resultsparmset1_run_4_f	4	2	-6037.8	-5890.0	295.7
Resultsparmset1_run_5_f	5	2	-6039.5	-5890.7	297.7
Resultsparmset1_run_8_f	8	2	-6040.4	-5890.7	299.3
Resultsparmset1_run_6_f	6	2	-6036.8	-5890.2	293.1
Resultsparmset1_run_9_f	9	2	-6041.1	-5890.6	301.0
Resultsparmset1_run_3_f	3	2	-6037.1	-5890.2	293.9
Resultsparmset1_run_7_f	7	2	-6038.7	-5890.7	295.9
Resultsparmset1_run_2_f	2	2	-6034.7	-5890.1	289.2
Resultsparmset1_run_10_f	10	2	-6035.4	-5889.9	290.9
Resultsparmset1_run_1_f	1	2	-6039.8	-5890.5	298.7
Resultsparmset1_run_20_f	20	3	-6096.6	-5852.6	487.9
Resultsparmset1_run_18_f	18	3	-6095.0	-5852.9	484.1
Resultsparmset1_run_17_f	17	3	-6097.3	-5852.3	490.1
Resultsparmset1_run_16_f	16	3	-6101.2	-5853.2	496.1
Resultsparmset1_run_14_f	14	3	-6090.8	-5855.2	471.2
Resultsparmset1_run_12_f	12	3	-6105.2	-5851.9	506.6
Resultsparmset1_run_15_f	15	3	-6120.2	-5854.2	532.0
Resultsparmset1_run_13_f	13	3	-6100.6	-5854.0	493.2
Resultsparmset1_run_19_f	19	3	-6096.7	-5853.6	486.2
Resultsparmset1_run_11_f	11	3	-6104.2	-5851.4	505.5
Resultsparmset1_run_30_f	30	4	-6204.1	-5784.4	839.5
Resultsparmset1_run_27_f	27	4	-6247.0	-5787.4	919.0
Resultsparmset1_run_21_f	21	4	-6220.3	-5783.3	873.9
Resultsparmset1_run_28_f	28	4	-6212.9	-5784.6	856.6
Resultsparmset1_run_26_f	26	4	-6196.8	-5783.7	826.2
Resultsparmset1_run_22_f	22	4	-6216.6	-5788.7	855.7
Resultsparmset1_run_23_f	23	4	-6201.2	-5782.2	838.0
Resultsparmset1_run_29_f	29	4	-6212.5	-5785.6	853.9
Resultsparmset1_run_25_f	25	4	-6217.2	-5788.0	858.2
Resultsparmset1_run_24_f	24	4	-6178.2	-5784.5	787.4
